Title,Keywords,Keyword_Count
韓 기업 발목 잡는 상속세… “자본이득세로 전환해야”,"['한국조세정책학회장', '경제', '토론자', '한국경제연구원', '미래']",5
"SK온 ""흑자전환까지 임원연봉 동결"" 비상경영 돌입","['임원', '효율', '회의', '경영자', '조직']",5
"`영업이익률 66%` 그 회사…김형태 시프트업 대표, 1조 부호로","['인수', '자금', 'nh투자증권', '주식', '가치']",5
"[속보] 코스피, 종가 기준 2800선 탈환","['지난달', '포인트', '거래', '연합뉴스코스피', '지수']",5
정태영 부회장 “해외 진출 초석 쌓는다”…비자 CEO·글로벌 금융사 CEO들 현대카드 찾았다,"['아프리카국립상업은행', '페이스북', '현대카드', '디스커버리은행', '알고리즘']",5
"""PF 정상화 후폭풍…증권사 대손충당금 압박 커진다""","['금리', '대신저축은행', '증권업', '금융', '투자']",5
"롯데리아, 불고기버거 30년간 10억개…K버거 대표 프랜차이즈로 '우뚝'","['햄버거', '한국', '한국인', '동남아시아', '음식']",5
"""노후대비 10억 필요""…강남3구 재건축·美 빅테크株 최대 관심사 [머니트렌드 2024]","['건축', '2024', '신청자', '주택자', '소득세']",5
"'선택과 집중' 택한 SK, 바이오가 군살?…""여전히 중요한 사업군""","['계열사', '바이오', '선택', 'sk그룹', '업계']",5
SK 배터리사업 배수의 진 쳤다,"['경영자', '임원', '책임자', '경영진', '경영']",5
수출이 살린 KG 모빌리티… 6월 내수 전년比 28.8% ↓,"['판매량', '판매', 'kgm', '수출', '시장']",5
"LS증권, 사명 변경 후 첫 조직 개편…IB본부 CEO직할로 편입","['기업', '경영자', '사업부', '조직', '영업력']",5
"""고물가에도 무더위 못참지"" 에어컨·선풍기 매출 '급증'","['서울', '판매', '마트', '인플레이션', '매출']",5
코오롱 복합소재 역량 집중 '코오롱스페이스웍스' 출범,"['자원', 'space', '복합', '환경', '기술']",5
"EY한영, 품질관리실장에 양준권","['리더', '김민성', '본부장', '관리실장', '조직']",5
"상상인증권 ""LG생활건강, 하반기 턴어라운드 예상…관심 제고 시기""","['시장', '중국', '투자', '매출액', '서울']",5
"화성산업, 'HS화성'으로 새 출발…""미래 100년 향해 도약""","['혁신', '화성산업', '미래', '건설업체', '시대']",5
"국금센터 “韓, 선제적 금리인하시 환율 압력 커져”","['금리', '서울경제', '은행', '정책국장', '압력']",5
[마켓뷰] 증시 엄습한 美·유럽 정치불안…코스피 방향 모색,"['대통령', '트럼프', '민주당', '토론', '정치']",5
"거래소, 메디콕스에 조회공시 요구","['규정', '메디콕스', '공시', '한국', '기자']",5
"더블유에스아이, 자회사 이지메디봇 시리즈A 20억 투자 유치","['로봇', '투자', '이지메디봇', '자회사', '메디봇']",5
[코스피] 4.86포인트(0.17%) 내린 2792.96 출발,"['포인트', '서울경제', '출발', '코스피']",4
"“펑크 났다며 질타하더니”...‘추경 상시화’ 길 트는 민주당, 세수 줄줄 샐 판","['정책위', '민주당', '비판', '더불어민주당', '주장']",5
"제주항공 국제선 탑승객 2명 중 1명, 모바일 체크인","['모바일', '공항', '이용객', '증가', '홍콩']",5
"""집 사고 싶다"" 64.9%…6개월 전보다 0.6%p 상승","['주택', '평균', '아파트', '부동산', '감소']",5
"기아, '키자니아 부산'에 두번째 '모빌리티 직업 체험관' 개관","['테마파크', '서울', '경험', '어린이', '스토어']",5
"라바웨이브, 역대 최대 '보이스·몸캠피싱' 조직 검거 공조","['피해자', '범죄', '김준엽', '피해액', '충남경찰청']",5
코스피 보합권 출발…개인·외인 '사자' vs 기관 '팔자',"['비용', '한국', '시장', '환율', '달러']",5
"""프로필만 등록해도 상품권을""…여성기업 일자리허브 매칭데이 진행","['참여', '주간', '마케팅', '회원', '고용']",5
농수산물 온라인도매시장서 오늘부터 '수산물도 거래',"['농수산물', '시장', '마른김', '유통', '농산물']",5
"""돌아왔구나 반도체"" 하반기 전망도 '맑음'…수출 7000억불 코앞","['확산', '인플레이션', '올해', '수출국', '증가']",5
“자고나면 오르네”… 서울 아파트 '전고점' 돌파 하나 [뉴스+],"['시장', '서울', '상승세', '금리', '아파트']",5
"롯데리조트속초X롯데월드, '카니발 삼바 페스티벌' 개최","['퍼레이드', '댄서', '의상', '어드벤처', '공연']",5
연설하는 팜 밍 찡 베트남 총리,"['연설', '베트남', '총리', '서울', '기자']",5
"""파마리서치, 리쥬란·화장품 성장 여력 크다…목표가↑""-상상인","['매출', '투자', '수익', '시장', '비율']",5
"베트남우리은행, 26번째 지점 하노이 롯데몰지점 오픈","['베트남우리은행', '베트남중앙은행', '롯데몰지점', '베트남', '우리은행우리은행']",5
