Title,Keywords,Keyword_Count
"대보건설, 상반기 6500억원 수주…“공공부문 강점”","['부지조성공사', '건설', '경제', '서울', '대보건설']",5
"코스닥, 외국인·기관 ‘팔자’…약보합 출발","['증권', '평균', '금리', '마켓포인트', '뉴욕']",5
바이든보다 트럼프? 美 대선 따라 울고 웃는 종목들,"['트럼프', '토론', '대통령', '선거', '미국']",5
"농협은행 청소년금융교육센터, “하반기 금융교육 신청하세요”","['은행장', '여름', '방학', '화폐', '금융']",5
"엔비디아 반독점법 위반제재 '촉각'…최대 과징금, 매출 10%","['프랑스', '규제', '카드', '홈페이지', '유럽']",5
"“상담 간편하게”…홈플러스, ‘AI 챗봇 서비스’ 론칭","['챗봇', '디지털', '지능', '소통', 'nlp']",5
"SK브로드밴드, 표준협회 주관 '서비스품질' 1위","['인터넷', '미디어', '지능', '한국', '부문']",5
"딥노이드, 미국 갑상선학회 공식 학술지에 연구논문 게재","['진단', '세포학', 'thyroid', '실험실', '병리학자']",5
"""AI TV 시대 주도""…삼성전자, 초대형 프리미엄 TV 판매 '호조'","['기술', '삼성전자', '지능', '영상', '시청']",5
오메가의 타임키핑 장비 소개,"['컴퓨터', '스캔오비전', '기술', '타임키핑', '그래픽']",5
구자갑 인스코비 대표 “자산 매각·자사주 매입…기업가치 증대 추진”,"['재정', '성장', '시장', '개선', '투자']",5
"LS전선, 동해시 ‘저출산 극복’ 사업 등 1억원 지원","['지구회', '케이블', '지원', '공장장', '한국청소년육성회']",5
"라이나생명, 사회공헌 기금 100억원 출연","['라이나전성기재단', '생명', '기금', '라이나생명', '보험']",5
"㈜신원, ‘지속가능경영보고서’ 첫 발간","['esg', '향후', '환경', '위원회', '방침']",5
연대 이어 고대 교수도 '무기한 휴진'… 환자단체 '집회' 예고,"['한국환자단체연합회', '집회', '집단', '한국희귀난치성질환연합회', '한국유방암환우총연합회']",5
"[속보]뉴욕증시, 강보합 마감했지만…10년물금리 13bp 급등","['금리', '증권', '블루칩', '금융', '주식']",5
"업폴, 알리바바 클라우드와 MOU 체결…AI 기반 비주얼 콘텐츠 혁신 나서","['alibaba', 'cloud', '디지털', '소프트웨어', '알리바바']",5
"SKT 컨소시엄, 위성 탑재 '양자암호 시스템' 개발","['ktl', '한국산업기술시험원', '암호통신', '반도체', '기술']",5
"“손님 사라지고 배달 끊길까”…외식업계, 장마철 맞아 ‘예의주시’","['강수량', '인플레이션', '농업', '경제', '기후']",5
물가 2%대 유지했지만…석유류 넉 달째 뛰고 과일류 31.3% 껑충(종합),"['소비자', '상승세', '서울', '가격', '경제']",5
"권은비,츄,CL,백호 워터밤 속초 출격..한화리조트 개최","['워터밤', '영상', '2024', '물놀이', '워터']",5
"“저축은행 PF손실, 충당금 규모 웃돌 것” [경제 레이더]","['pf', '손실', '부동산', '금융', '나이스신용평가']",5
"두나무, 웹3 보안 인재 양성 '업사이드 아카데미' 1기 발대식 개최","['사이버', '인사이트', '보안', '발대식', '프로그램']",5
"[포토] 장마시작, 우산이 필요해","['서울', '우산', '출근길', '조용준', '직장인']",5
"""금리 인하기, 현금·채권보단 주식 비중 늘려야""","['중앙은행', '금리', '투자자', '금융', '은행']",5
"北, 룡림군 고운농장에 '살림집' 건설 성과 선전","['북한', '사용', '평양', '배포', '금지']",5
"기재1차관 ""하반기 물가 2%초중반대로 안정화""","['안정', '시장', '불확실', '향후', '정부서울청사']",5
"""엔비디아, 차세대 칩 출시로 주가 계속 오를 것""","['가치', '예측', '투자', '수익', '마이크로아키텍처']",5
[기업이슈] 올해 삭센다 특허 풀린다…'비만치료제' 국내 수혜주는?,"['개선', '특허', '시장', '증가', '치료제']",5
"[속보] 김홍일 방송통신위원장, 사의 표명","['위원장', '김홍일', '회의', '국회', '지난주']",5
[오늘의 주요일정]금융·증권(7월2일 화요일),"['금감원장', '위원회', '위원장', '금융', '계약']",5
"루닛, 유성원 CTO 영입… ""의료AI 기술 혁신 가속화""","['전문가', '엔지니어', '책임자', '박사', '테크']",5
[속보] 6월 소비자물가 2.4%↑...상반기 평균 2%대 안착,"['소비자', '평균', '가격', '증가', '통계청']",5
"[클릭 e종목]""CJ프레시웨이, 구조적으로 강해진 사업 포트폴리오""","['매출액', '성장세', '비용', '시장', '증가']",5
아이스크림에 '금속너트' 왜…반복되는 이물질 사고,"['아이스크림', '식품업', '금속', '맥도날드', '기름종이']",5
올해 149% 급등한 엔비디아...“앞으로 더 오른다”,"['수익', '투자', '수요', '가치', '마이크로아키텍처']",5
"""전셋값 더 뛴다는데"" 속타는 세입자…""차라리 사자"" 영끌족 귀환","['집값', '부동산업', '주택', '수요', '총부채']",5
금융자산가의 하반기 포트폴리오 “주식 6대 채권 4”,"['삼성증권', '금융', '개인종합자산', '투자처', '계좌']",5
"""힐은 영원하리"" '킹키부츠' 10주년, 9월 컴백","['한국', '블루스퀘어', 'enm', '신한카드홀', '아카데미상']",5
"뉴욕증시, 밸류 부담 완화…테슬라 6%대↑ 마감","['금리', '상승세', '증권', '평균', '시장']",5
견고한 실적 ‘AI 랠리’… 하반기 증시도 이끈다,"['성장', '투자자', '산업', '잠재력', '상승세']",5
과속 단속 카메라로 음주 단속 가능해지나,"['기자', '수원중부경찰서', '카메라', '경찰', '감시']",5
"서초구, 대형마트 새벽배송 첫 허용했지만…업계는 '시큰둥'","['영업시간', '마트산업', '마트', '슈퍼마켓', '유통업']",5
현대車 인니 공장 수출 20% 증가… 현지 4위,"['수출', '일본', '인도네시아', '해외', '생산']",5
"한화오션, 다국적 해상훈련 '림팩' 출격…""K-함정 우수성 증명""","['함대공', '병력', '구축함', '환태평양훈련', '잠수함']",5
"""복날, 수박·닭고기 부담 없을 듯""","['가격', '배추', '이달', '농업', '도매가격']",5
트럼프 발 ‘강달러’…환율 1380원대 안착 시도[외환브리핑],"['트럼프', '금리', '투표', 'pmi', '대통령']",5
"""또 공사비 오를까""…레미콘노조 휴업에 건설현장 '불똥'","['건설업', '협상', '경기지방노동위원회', '건설', '노동']",5
"SOOP, 2분기 별풍선 매출 역대최대 전망…목표가 10%↑-하나","['매출', '투자', '수익', '하나증권', '증가']",5
더 일하고 싶은 ‘2차 베이비부머’,"['은퇴', '연령', '한국', '소득', '성장']",5
충북 양배추 가격 안정세…전달보다 26.5% 하락,"['소비자', '평균', '가격', '하락', '일상생활']",5
"국토부, ‘소상공인 도로점용료 감면 2년 연장’ 등 41개 규제 개선","['교통약자법', '위원회', '개혁', '인프라', '규제']",5
LCC 최초 파리 취항한다던 티웨이… 올림픽 특수는 '글쎄',"['항공', '일정', '아시아나항공', '항공기', '비행']",5
"삼성전자서비스, 고객이 뽑은 'AS 만족도' 1위 석권","['삼성전자서비스', '한국', '2024', '서울대학교', '삼성전자']",5
‘K-조선’ 3조5000억 규모 수주 계약… 한화오션·삼성重 실적 개선 기대감,"['vlcc', '천연가스', '중동', '규모', '원유']",5
'교섭창구 단일화' 12년 만에 다시 '합헌'…전원일치→5대 4로,"['헌법', '회견', '노조', '총연맹', '조합원']",5
김 시장 “산업구조 틀 바꿔 청년·여성 일자리 창출”,['울산'],1
"北, 룡림군 고운농장에 '살림집' 건설 성과 선전","['북한', '사용', '평양', '배포', '금지']",5
질병 의심 소견도 안 알리면 보험금 못 받는다,"['보험금', '보험', '보험사', '보험료', '의무']",5
"무협, 미국 중남부 거점 댈러스에 사무소 열어","['서울', '텍사스주', '장관', '기업', '기자']",5
[속보] 6월 소비자물가 상승률 2.4%… 근원물가 2% 안착 흐름,"['소비자', '상승세', '통계청', '지난달', '과일']",5
"스튜디오드래곤 ""女 주연 과반…다양성·형평성 가치 확대할 것""","['스튜디오', '보고서', '미디어', '제작업계', '환경']",5
"[오늘의 환율전망] 원/달러 환율, 1381.9원 출발 예상… 3원↓","['금리', '하락', '시장', '환율', '불확실']",5
"'눈높이' 대교, 아동에서 시니어로 사업 비중 옮긴다","['학습', '교사', '학습지', '노인', '커리큘럼']",5
주식시장 개장 시황,"['환율', '하나은행', '거래', '달러', '서울']",5
"삼성바이오에피스, 스텔라라 바이오시밀러 美 품목 허가","['삼성바이오에피스', '제약사', '바이오시밀러', '의약품', '면역']",5
"교원더오름, 건강 습관 형성과 포인트 적립을 동시에 ‘헬시클로버’ 출시","['최대', '혜택', '사용자', '적립', '일상']",5
"무협, 美 중남부 지역 거점 마련…댈러스 사무소 개소","['텍사스주', '중남부', '댈러스', '무역협회', '휴스턴']",5
"한화오션 3형제, 다국적 연합훈련 '림팩' 출격","['함대공', '해군', '병력', '구축함', '대함전']",5
잘 나가던 탕후루 벌써 '쇠퇴기?'…충북서 매장 16% 폐업,"['음식점', '폐업', '개방', '통계', '청주시']",5
2학기부터 모든 초교 ‘늘봄’ 운영… 긴급돌봄 사업도 시행 [하반기 달라지는 것들],"['여권', '벌금', '임금', '연령', '등록증']",5
"[단독] 이재용 회장, 베트남 총리와 오늘 개별회동","['팜민찐', '위원장', '서울', '총리', '최창원']",5
"한화오션 함정 3척, 다국적 해상훈련 '림팩'서 활약","['환태평양훈련', '대한민국', '잠수함', '태평양', '훈련']",5
최태원 회장의 광폭 행보… 아마존·인텔 CEO와 AI·반도체 협업 논의,"['인텔', '인스타그램', '경영자', '아마존', '지능']",5
"삼일PwC, 글로벌 IPO 전담팀 출범","['기업', 'pwc', '회사', '위원회', '증권']",5
당뇨·비만서 지방간으로…34조원 시장 두고 각축,"['의약품', '항염증', '의약국', '간암', '위약']",5
“보험계약 전 ‘고지의무’ 소홀히하면 보험금 못 받아요”,"['보험', '치료', '보험사', '보험금', '진단']",5
"홈플러스, ‘AI 챗봇 서비스’ 론칭…간편·정교한 고객 응대 진행","['챗봇', '디지털', '지능', '기술', '온라인플랫폼']",5
"[동정] 강도형 해수장관, 해양수산 발전 유공자 29명에 훈・포장 등 수여","['해양', '2024', '장관', '해수부', '바다']",5
"KB證, 올 상반기 IPO 압도···하반기 기세 이어갈까","['dbkb증권', '한국투자증권', 'nh투자증권', 'kb증권', '투자자']",5
"1분기 자영업자 대출연체 역대 최대...공정위, 알리 제재 착수 [한강로 경제브리핑]","['총부채', '대출', '대출액', '금융', '대출자']",5
수도권 레미콘 운송기사 파업… 건설 현장 비상,"['레미콘운송노동조합', '파업', '공사비', '협상', '한국']",5
"남양유업, 경영진 교체후 대리점과 첫 상생 회의","['서울', '사장', '기업', '회의', '대리점']",5
"[클릭 e종목]""엔씨소프트, 2분기 영업적자 불가피…목표가↓""","['조정한화투자증권', '비용', '한화투자증권', '매출액', '투자']",5
나이키 성공 신화와 실적 분석 [월가의 돈이 되는 트렌드 '월렛'],"['창업자', '스포츠', '혁신', '창업', '위기']",5
오늘 환율은...,"['기자', '달러', '환율', '하나은행', '연합뉴스']",5
"두산에너빌, 분당발전소에 380MW급 K-가스터빈 공급","['발전소', '한국남동발전', '계약', '향후', '계획']",5
“개그맨으로 성공은 못했지만”…100억 라방 완판시킨 ‘이 남자’,"['경력', '앳홈', '생활', '회사', '직장인']",5
"(주)스템포인트, 반려동물 바이오 솔루션 브랜드 ‘두카’ BI 새 단장","['바이오', '줄기세포', '반려견', '반려동물', '테크']",5
"김병환 차관, 물가관계차관회의 주재","['재정부', '김병환', '회의', '연합뉴스', '정부서울청사']",5
"통계청, 2024년 6월 소비자물가 2.4% 상승","['소비자', '경제', '통계', '통계청', '지난달']",5
"""1천원대 '아아'는 지속가능한가""…저가커피의 '고민'","['커피숍', '성장세', '소비자학과', '생산비', '시장']",5
"전국 아파트 전셋값 13개월 연속 상승…""매수로 눈 돌린다""","['가격', '증가', '부동산', '시장', '아파트']",5
"LG엔솔, 르노서 전기차용 LFP 첫 수주…“중국 텃밭 뚫었다”","['배터리', 'lfp', '공장', '전기', '리튬']",5
리츠 시장 살아나나 했는데…신한글로벌액티브리츠 8% '뚝',"['한글로벌액티브위탁', '가격', '한글로벌액티브리츠', '수준', '티브글로벌리츠']",5
“재정 둑 하나씩 무너져간다”...나랏돈 언제든 쓸 수 있게 법 바꾸자는 野,"['민주당', '재정법', '국회', '정책', '정부']",5
"메모리 가격, 4개월째 '제자리'…'반도체 반등론' 무색","['반도체', '저장', '삼성전자', '장치', '중국']",5
"김홍일 방통위원장, 탄핵안 보고 전 자진 사퇴","['부위원장', '김홍일', '위원장', '퇴임식', '회의']",5
[영상] 고금리에 휘청 23억 떨어졌다…홍대 4층 꼬마빌딩 땅값 보다 싸졌다 [부동산360],"['빌딩', '서울', '대출', '윤병찬', '경제']",5
"[게시판] 코트라·광주경자청, 일본서 '한일 무역투자진흥 세미나'","['서울', '일본', '광주경제자유구역청', '투자', '한국']",5
"북한, 전원회의서 경제 성과만 자찬…대외전략·국방 언급 자제","['서울', '북한', '김정순', '대한민국', '김정은']",5
현대해상 내년 70돌… 어린이보험 선전 힘입어 2위 되찾나[2024 재계 인맥 대탐구],"['보험업', '현대해상화재보험', '해상보험', '보험사', '보험']",5
"DL이앤씨, 6년 연속 업계 최고 신용등급 'AA-' 유지","['등급', '수익', '한국기업평가', '가치', '보증']",5
"자이언트스텝, 현대백화점 공식 온라인몰 생성형 AI 도입","['디지털', '혁신', '현대닷컴', '기술', '이미지플로우']",5
"'850원' 슈퍼엔저, 37년 만에 최고… 엔/달러 환율 162엔 돌파 눈앞","['일본은행', '가격', '인플레이션', '금리', '연율']",5
"비보존제약, 앰비케어 손잡고 알자틴캡슐 글로벌 수출 본격화","['알자틴캡슐150', '캐나다', '수출', '약국', '항궤양제']",5
"""애플, 신형 에어팟에 카메라 장착…2026년 양산 목표""","['애플', '특파원', '아이팟', '카메라', '무선']",5
[속보]6월 소비자물가 2.4% 올라…석달째 2%대 상승,"['상승률', '농산물', '소비자', '경제', '통계청']",5
"중소기업계, 베트남 총리 만나 경영 애로 전달...기업은행 베트남 법인 인허가도 요청","['한국단조공업협동조합', '한국농기계공업협동조합', '이사장', '김기문', '서울']",5
"이케아, 뉴욕 5번가 명품거리에 매장 연다…부동산 지분 투자","['맨해튼', '건물', '브루클린', '쇼핑몰', '뉴욕시']",5
"전매방문 예약도 휴대폰...대우건설, 모바일 상담앱 리뉴얼 오픈","['모바일', '분양금', '신청', '애프터서비스', '디자인']",5
"""빨리빨리 문화에 맞추자""…'한국화' 나선 글로벌 플랫폼 [여행 라이브]","['인천국제공항', '해외여행객', '에어아시아', '모바일', '여행업']",5
"미증시 하반기에도 랠리 기대, 빅테크 일제 상승…애플 3%↑","['애플', '상승', '구글', '지능', '마이크로소프트']",5
6월 소비자물가 2.4%↑ '석달째 2%대'…상승폭 11개월來 최저(종합),"['경제', '상승세', '통계청', '수입', '통계']",5
"동양·ABL생명 대주주 중국 다자보험, 본전 찾으려면…","['롯데손해보험', '우리금융그룹', '롯데손보', '우리금융지주', '본전']",5
"[상속세]② 상속세 공제한도 올려주세요 혹시, 세율도 같이?","['소득세', '세금', '세율', '납부', '혜택']",5
외국인에 손내미는 은행권…특화점포 늘리고 비대면도 강화,"['외국인', '인구', '우리은행', '고객', '인도네시아']",5
"김기문 중기중앙회장, 베트남 총리와 중소기업 협력방안 논의","['서울', '중소기업', '베트남', '김기문', '한국']",5
소상공인 도로점용료 감면 2년 연장…2분기 국토교통 분야 규제개선,"['규제', '개혁', '교통', '방침', '규정']",5
"홈플러스, AI 챗봇 서비스 선봬…""질문의도 파악해 양질 답변""","['챗봇', '단어', '커뮤니케이션', '지능', '언어']",5
